0.0	1	2	3	4	5	6	7	8	9	10
0.5	0.314	0.302	0.29	0.278	0.255	0.245	0.238	0.234	0.234	0.231
0.6	0.3	0.285	0.27	0.256	0.243	0.233	0.223	0.215	0.211	0.208
0.7	0.288	0.27	0.253	0.238	0.225	0.215	0.205	0.196	0.191	0.187
0.8	0.277	0.256	0.237	0.222	0.209	0.199	0.189	0.18	0.174	0.168
0.9	0.266	0.243	0.223	0.208	0.195	0.185	0.175	0.166	0.16	0.154
1.0	0.257	0.233	0.213	0.197	0.184	0.174	0.165	0.157	0.15	0.143
1.1	0.25	0.225	0.204	0.188	0.175	0.165	0.157	0.149	0.142	0.135
1.2	0.243	0.217	0.196	0.18	0.167	0.157	0.149	0.141	0.134	0.128
1.3	0.237	0.21	0.189	0.173	0.16	0.15	0.142	0.134	0.127	0.121
1.4	0.231	0.204	0.183	0.166	0.153	0.143	0.135	0.128	0.121	0.115
1.5	0.225	0.198	0.177	0.16	0.147	0.137	0.129	0.122	0.116	0.11
1.6	0.22	0.193	0.171	0.154	0.141	0.131	0.124	0.116	0.111	0.105
1.8	0.211	0.183	0.161	0.144	0.131	0.122	0.115	0.109	0.103	0.098
2.0	0.203	0.174	0.152	0.135	0.123	0.114	0.107	0.101	0.096	0.092
2.2	0.196	0.166	0.144	0.128	0.116	0.107	0.1	0.095	0.095	0.086
2.6	0.184	0.153	0.131	0.116	0.105	0.097	0.091	0.086	0.081	0.077
3.0	0.173	0.142	0.12	0.105	0.095	0.088	0.083	0.078	0.074	0.07
